ID,Assemblage,Date_of_study,Collection_location,Box_description,Label1,Label2,Label3,Flint_colour,Patination,Fragment,Reversed,Length,Break_of_tip,Width,Thickness,Bulb,Butt,Backing_lateralisation,Base_description,Other_retouch,Notes,Photo
Gme_ap_001,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; р1-х1 168-172 острия с притупл. краем и осиов 8 шт.","K21, 77",Ч-171,14545,,Heavy,Entire,y,41.01,,13.14,3.56,Removed,Removed,Right,Backed,,,a
Gme_ap_002,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; р1-х1 168-172 острия с притупл. краем и осиов 8 шт.","К21, 78",У1-170,15064,,Heavy,Distal,y,,,,,,,Left,,,,
Gme_ap_003,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; р1-х1 168-172 острия с притупл. краем и осиов 8 шт.","K21, 78",У1-169,15052,,Heavy,Entire,y,33.98,,12.67,3.32,Removed,Removed,Left,Backed,,,
Gme_ap_004,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; р1-х1 168-172 острия с притупл. краем и осиов 8 шт.","К21, 77",С-172,14482,,Heavy,Entire,y,35.75,,14.39,5.45,Removed,Removed,Left,Backed,,Usewear down right edge,
Gme_ap_005,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; р1-х1 168-172 острия с притупл. краем и осиов 8 шт.","К21, 77",С-171,14444,,Heavy,Entire,y,29.89,,12.44,4.93,Removed,Removed,Left,Hinged blank termination,,Possible damage to end,b
Gme_ap_006,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; к ъ-я 86-90 мп (?) с притупл. края и конца","K21, 77",ю-88,14767,,Heavy,Entire,y,42.16,,11.95,3.23,Removed,Removed,Right,Backed,,Heavy usewear down left edge,e
Gme_ap_007,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; к ъ-я 86-90 мп (?) с притупл. края и конца",К21,ъ-88,14266,,Medium,Entire,y,37.5,,13.14,4.19,Removed,Removed,Right,Backed,,Light usewear down unbacked edge,
Gme_ap_008,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; к ъ-я 86-90 мп (?) с притупл. края и конца",К21,Ы-88,14285,,Heavy,Entire,y,34.94,,12.32,3.02,Removed,Removed,Right,Hinged blank termination,,Light usewear down unbacked edge,
Gme_ap_009,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; к ъ-я 86-90 мп (?) с притупл. края и конца","К21, 77",ь-86,14582,,Medium,Entire,y,31.78,,11.53,5.15,Removed,Removed,Left,Backed,,Made on possible neocrested flake/lame sous crête. Light usewear down unbacked edge,
Gme_ap_010,Kostenki 21-III,2017-02-09,IIMK,"Kostenki 21-III ""Les outils des habitations""; к ъ-я 86-90 мп (?) с притупл. края и конца","К21, 77",ю-88,14794,,Medium,Entire,n,32.98,,11.46,5.3,Removed,Removed,Left,Backed,,Light usewear down unbacked edge,
